Type;Name;Country Code;Area (km²);1990;2000;2010;2011;2012;2013;2014;2015;2016;2017;2018
Country;Korea, Dem. People’s Rep.;PRK;811;20293054;22929075;24548836;24673385;24800612;24929452;25057752;25183833;25307744;25429985;25549819
Country;Korea, Rep.;KOR;120540;42869283;47008111;49554112;49936638;50199853;50428893;50746659;51014947;51245707;51466201;51635256
Country;Kosovo;XKX;98480;1862000;1700000;1775680;1791000;1805200;1824100;1821800;1801800;1816200;1830700;1845300
Country;Kuwait;KWT;17820;2095344;2045123;2991884;3168060;3348853;3526378;3690942;3835591;3956873;4056097;4137309
Country;Kyrgyz Republic;KGZ;198500;4391200;4898400;5447900;5514600;5607200;5719600;5835500;5956900;6079500;6198200;6315800
Country;Lao PDR;LAO;236800;4258472;5323700;6249165;6347567;6444530;6541304;6639756;6741164;6845846;6953035;7061507
Country;Latvia;LVA;64589;2663151;2367550;2097555;2059709;2034319;2012647;1993782;1977527;1959537;1942248;1926542
Country;Lebanon;LBN;10400;2803044;3842778;4953061;5202343;5538634;5914621;6262410;6532678;6711121;6811873;6848925
Country;Lesotho;LSO;30355;1703747;2032804;1995581;2003787;2014990;2028519;2043437;2059021;2075001;2091412;2108132
Country;Liberia;LBR;111370;2075912;2848456;3891356;4017443;4135659;4248334;4359505;4472230;4586788;4702228;4818977
Country;Libya;LBY;1759540;4436661;5357891;6197663;6247439;6285750;6320359;6362037;6418315;6492164;6580724;6678567
Country;Liechtenstein;LIE;160;28789;33184;35994;36293;36615;36934;37223;37470;37658;37800;37910
Country;Lithuania;LTU;65200;3697838;3499536;3097282;3028115;2987773;2957689;2932367;2904910;2868231;2828403;2789533
Country;Luxembourg;LUX;2586;381850;436300;506953;518347;530946;543360;556319;569604;582014;596336;607728
Country;Macao SAR, China;MAC;28;343808;427782;538219;550832;564039;577372;590208;602085;612836;622585;631636
Country;Madagascar;MDG;587040;11598633;15766806;21151640;21743967;22346641;22961253;23589887;24234088;24894380;25570540;26262368
Country;Malawi;MWI;118480;9404500;11148758;14539612;14962112;15396005;15839269;16289540;16745303;17205289;17670260;18143315
Country;Malaysia;MYS;329750;18029824;23194257;28208035;28650955;29068159;29468872;29866559;30270962;30684804;31105028;31528585
Country;Maldives;MDV;300;223158;279398;365734;380495;397237;415593;435015;454915;475513;496402;515696
Country;Mali;MLI;1240000;8449913;10946445;15049353;15514591;15979499;16449864;16934220;17438778;17965429;18512394;19077690
Country;Malta;MLT;316;354170;390087;414508;416268;420028;425967;434558;445053;455356;467999;483530
Country;Marshall Islands;MHL;11854;47271;50753;56366;56531;56717;56938;57179;57439;57735;58058;58413
Country;Mauritania;MRT;1030700;2034346;2630219;3494195;3598648;3706554;3817494;3930896;4046301;4163534;4282574;4403319
Country;Mauritius;MUS;2040;1058775;1186873;1250400;1252404;1255882;1258653;1260934;1262605;1263473;1264613;1265303
Country;Mexico;MEX;1972550;83943132;98899845;114092963;115695473;117274155;118827161;120355128;121858258;123333376;124777324;126190788
Country;Micronesia, Fed. Sts.;FSM;702;96301;107402;102911;103450;104506;105926;107446;108895;110215;111459;112640
Country;Moldova;MDA;33843;3696000;3639592;3562045;3559986;3559519;3558566;3556397;3554108;3551954;3549196;3545883
Country;Monaco;MCO;2;29438;32147;35612;36024;36460;36901;37322;37718;38070;38392;38682
Country;Mongolia;MNG;1564116;2184145;2397418;2719896;2770362;2824699;2881792;2940108;2998439;3056359;3113779;3170208
Country;Montenegro;MNE;13812;606372;604950;619428;620079;620601;621207;621810;622159;622303;622373;622345
Country;Morocco;MAR;446550;24807462;28793679;32343389;32781850;33241898;33715693;34192347;34663603;35126296;35581294;36029138
Country;Mozambique;MOZ;801590;12987292;17711927;23531574;24187487;24862648;25560725;26286163;27042002;27829942;28649007;29495962
Country;Myanmar;MMR;;41335199;46719701;50600818;50990615;51413698;51852451;52280807;52680726;53045226;53382581;53708395
